order_id,date_commande,date_expedition,date_livraison,produit,quantite,entrepot,region,transporteur,mode_transport,delai_livraison,retard,cout_transport,priorite,statut,client_ville,poids_kg,mois,trimestre,jour_semaine,semaine_annee,annee,delai_reel,ecart_delai,cout_par_unite,cout_par_kg,saison_haute,weekend,categorie_delai
CMD-01000,2023-01-01,2023-01-04,2023-01-12,Phosphates,101.0,Casablanca-Port,Oriental,Maroc Logistique,Route,8.0,1.0,370.94,Standard,Retardé,Oriental,422.2,1,1,6,52,2023,8.0,0.0,3.672673267326733,0.8785883467550923,0,1,Standard
CMD-01001,2023-01-01,2023-01-02,2023-01-04,Câblage Automobile,346.0,Tanger-Med,Grand Casablanca,Oncf Marchandises,Route,-1.0,0.0,215.06,Express,Livré,Souss-Massa,916.0,1,1,6,52,2023,2.0,3.0,0.6215606936416185,0.23478165938864629,0,1,Express
CMD-01002,2023-01-01,2023-01-01,2023-01-03,Huile D'Olive Bio,217.0,Tanger-Med,Rabat-Salé-Kénitra,Ctm Express,Aérien,-1.0,0.0,925.41,Urgent,Livré,Marrakech-Safi,672.3,1,1,6,52,2023,2.0,3.0,4.264562211981566,1.376483712628291,0,1,Express
CMD-01003,2023-01-02,2023-01-06,2023-01-12,Huile D'Olive Bio,198.0,Agadir-Sud,Béni Mellal-Khénifra,Maroc Logistique,Route,6.0,0.0,215.82,Express,Livré,Marrakech-Safi,429.8,1,1,0,1,2023,6.0,0.0,1.0899999999999999,0.5021405304792926,0,0,Standard
CMD-01004,2023-01-02,2023-01-05,2023-01-10,Câblage Automobile,18.0,Agadir-Sud,Fès-Meknès,Sntl,Route,5.0,1.0,280.01,Express,Retardé,Tanger-Tétouan-Al Hoceïma,274.9,1,1,0,1,2023,5.0,0.0,15.556111111111111,1.0185885776646053,0,0,Rapide
CMD-01005,2023-01-02,2023-01-02,2023-01-05,Phosphates,494.0,Fès-Industriel,Souss-Massa,Sntl,Maritime,3.0,0.0,654.09,Express,Livré,Souss-Massa,829.8,1,1,0,1,2023,3.0,0.0,1.3240688259109312,0.7882501807664498,0,0,Rapide
CMD-01006,2023-01-03,2023-01-04,2023-01-07,Huile D'Olive Bio,11.0,Marrakech-Centre,Souss-Massa,Maroc Logistique,Route,3.0,0.0,234.23,Express,Livré,Oriental,501.9,1,1,1,1,2023,3.0,0.0,21.293636363636363,0.46668659095437337,0,0,Rapide
CMD-01007,2023-01-03,2023-01-06,2023-01-08,Agrumes Export,331.0,Marrakech-Centre,,,,2.0,0.0,281.94,Standard,Livré,Grand Casablanca,388.0,1,1,1,1,2023,2.0,0.0,0.8517824773413897,0.7266494845360825,0,0,Express
CMD-01008,2023-01-03,2023-01-04,2023-01-10,Huile D'Olive Bio,232.0,,Béni Mellal-Khénifra,Ctm Express,Aérien,6.0,1.0,953.42,Standard,Retardé,Béni Mellal-Khénifra,947.1,1,1,1,1,2023,6.0,0.0,4.109568965517242,1.006673001794953,0,0,Standard
CMD-01009,2023-01-04,2023-01-07,2023-01-10,Huile D'Olive Bio,118.0,,,,,3.0,0.0,3000.0,Standard,Livré,Grand Casablanca,300.7,1,1,2,1,2023,3.0,0.0,25.423728813559322,9.976720984369804,0,0,Rapide
